ean/modelo,cod_interno,producto,marca,precio_online,precio_cuotas,garantia,url,timestamp
15-EH0004LA,364017,"Notebook HP Pavilion 15,6” AMD Ryzen 3 8GB 256GB SSD 15-EH0004LA",HP,$99.999,ND,ND,https://www.fravega.com/p/notebook-hp-pavilion-15-6-amd-ryzen-3-8gb-256gb-ssd-15-eh0004la-364017/,2022-03-22 20:33:41
14-DK1016LA,364043,"Notebook HP 14-dk1016la AMD Athlon Silver 3050U 4GB 256GB SSD 14""",HP,$59.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-dk1016la-amd-athlon-silver-3050u-4gb-256gb-ssd-14--364043/,2022-03-22 20:33:41
VJFE52A1311H,364065,"Notebook VAIO 15,6"" Core i5 8GB 256gb VJFE52A1311H",VAIO,$114.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i5-8gb-256gb-vjfe52a1311h-364065/,2022-03-22 20:33:41
A315-23-R2YB,364048,"Notebook Acer 15,6"" AMD Athlon 4GB 1TB A315-23-R2YB",ACER,$67.999,ND,ND,https://www.fravega.com/p/notebook-acer-15-6-amd-athlon-4gb-1tb-a315-23-r2yb-364048/,2022-03-22 20:33:41
S145-81UV00AM,363866,"Notebook Lenovo 14"" AMD 3020 4GB 500GB 145-81UV00AM",LENOVO,$64.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-14-amd-3020-4gb-500gb-145-81uv00am-363866/,2022-03-22 20:33:41
IP5-82FG00JEAR,364158,"Notebook Lenovo 15,6"" Core i7-1165G7 256GB 8GB IP5-82FG00JEAR",LENOVO,$169.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-15-6-core-i7-1165g7-256gb-8gb-ip5-82fg00jear-364158/,2022-03-22 20:33:41
14-CF2533LA,363918,"Notebook HP 14"" 4GB 256GB Intel Core i3 14-CF2533LA",HP,$82.999,ND,ND,https://www.fravega.com/p/notebook-hp-14-4gb-256gb-intel-core-i3-14-cf2533la-363918/,2022-03-22 20:33:42
VJFE52A1411H,364084,"Notebook VAIO 15,6"" Core i7 8G 512GB VJFE52A1411H",VAIO,$149.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i7-8g-512gb-vjfe52a1411h-364084/,2022-03-22 20:33:42
IP5-82LM00B2AR,364058,Notebook Lenovo 14” AMD Ryzen 7 8GB 256GB SSD IP5-82LM00B2AR,LENOVO,$139.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-14-amd-ryzen-7-8gb-256gb-ssd-ip5-82lm00b2ar-364058/,2022-03-22 20:33:42
81WA00D8AR,364016,"Notebook Lenovo IdeaPad 14"" 4GB 256GB Core i3 81WA00D8AR",LENOVO,$82.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad-14-4gb-256gb-core-i3-81wa00d8ar-364016/,2022-03-22 20:33:42
VJFE52A1211H,364042,"Notebook VAIO 15,6"" Core i3 8GB 256GB VJFE52A1211H",VAIO,$92.999,ND,ND,https://www.fravega.com/p/notebook-vaio-15-6-core-i3-8gb-256gb-vjfe52a1211h-364042/,2022-03-22 20:33:42
