ean/modelo,cod_interno,marca,producto,precio_online,precio_cuotas,garantia,url,timestamp
6972477390301,176567,HAIER,NOTEBOOK HAIER HR-X156B CELERON,40374,"$ 40.374,05",12,https://www.musimundo.com/informatica/notebook/notebook-haier-hr-x156b-celeron/p/00314265,2022-03-26 11:45:34
7797678015919,140906,EXO,NOTEBOOK EXO C25PLUS INTEL CELERON,44999,"$ 44.999,10",12,https://www.musimundo.com/informatica/notebook/notebook-exo-c25plus-intel-celeron/p/00320061,2022-03-26 11:45:34
7798181991318,139689,ENOVA,NOTEBOOK ENOVA C141SP-N4 INTEL PENTIUM,41799,"$ 41.799,05",12,https://www.musimundo.com/informatica/notebook/notebook-enova-c141sp-n4-intel-pentium/p/00307322,2022-03-26 11:45:34
7797678017647,145396,EXO,NOTEBOOK EXO SMAT L65 INTEL CELERON,46999,"12 x $ 3.916,58 Cuotas sin interés",0,https://www.musimundo.com/informatica/notebook/notebook-exo-smat-l65-intel-celeron/p/00507001,2022-03-26 11:45:34
7797678017685,144876,EXO,NOTEBOOK EXO SMART M45 INTEL CELERON,47999,"12 x $ 3.999,92 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-exo-smart-m45-intel-celeron/p/00474009,2022-03-26 11:45:34
7798166643928,141121,POSITIVO BGH,NOTEBOOK POSITIVO BGH AT550 INTEL CELERON,48499,"3 x $ 16.166,33 Cuotas sin interés",12,https://www.musimundo.com/marcas/positivo-bgh/notebook-positivo-bgh-at550-intel-celeron/p/00320442,2022-03-26 11:45:34
7798135512125,142864,HDC,NOTEBOOK HDC CY-14N3450-464 INTEL CELERON,38999,"6 x $ 6.499,83 Cuotas sin interés",6,https://www.musimundo.com/marcas/hdc/notebook-hdc-cy-14n3450-464-intel-celeron/p/00374010,2022-03-26 11:45:34
7797678016879,176965,EXO,NOTEBOOK EXO L33 CELERON,41399,"$ 41.399,10",12,https://www.musimundo.com/informatica/notebook/notebook-exo-l33-celeron/p/00362001,2022-03-26 11:45:36
7798181991974,177427,E-NOVA,"NOTEBOOK E-NOVA CLOUDBOOK ENOVA 14.1"" CELERON N4020 4GB/64GB INTEL CELERON N4020",42274,"12 x $ 3.522,84 Cuotas sin interés",12,https://www.musimundo.com/informatica/notebook/notebook-e-nova-cloudbook-enova-14-1-celeron-n4020-4gb-64gb-intel-celeron-n4020/p/00472004,2022-03-26 11:45:36
7798181991806,142866,ENOVA,NOTEBOOK ENOVA C141PP-A3-S12-W10H INTEL CELERON,43199,"$ 43.199,10",12,https://www.musimundo.com/informatica/notebook/notebook-enova-c141pp-a3-s12-w10h-intel-celeron/p/00374012,2022-03-26 11:45:36
